         1205465 function calls (1205422 primitive calls) in 23.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130   14.519    0.112   14.519    0.112 {method 'acquire' of '_thread.lock' objects}
        1    3.205    3.205    4.997    4.997 utils.py:56(<listcomp>)
  1100028    1.808    0.000    1.808    0.000 utils.py:5(fitfuncF0)
        1    1.031    1.031    1.031    1.031 utils.py:24(<listcomp>)
        1    0.868    0.868    0.868    0.868 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
        8    0.572    0.071    0.573    0.072 {built-in method posix.fork}
        1    0.465    0.465    0.589    0.589 npyio.py:1357(savetxt)
    40/22    0.141    0.004    0.772    0.035 {built-in method numpy.core._multiarray_umath.implement_array_function}
   100000    0.109    0.000    0.109    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        4    0.076    0.019    0.076    0.019 {built-in method numpy.array}
        1    0.050    0.050    0.069    0.069 {built-in method scipy.optimize._minpack._lmdif}
       44    0.044    0.001    0.044    0.001 {built-in method posix.waitpid}
        1    0.043    0.043    0.043    0.043 utils.py:25(<listcomp>)
        1    0.042    0.042   23.212   23.212 amplification_factor.py:65(integrator)
        6    0.030    0.005    0.031    0.005 synchronize.py:50(__init__)
        1    0.027    0.027    0.028    0.028 helper.py:123(fftfreq)
        1    0.023    0.023    0.920    0.920 utils.py:62(iwFourier)
        2    0.021    0.011    0.021    0.011 function_base.py:1799(trim_zeros)
        1    0.020    0.020    5.207    5.207 utils.py:28(F_tilde_extend)
        1    0.017    0.017   15.227   15.227 histogram.py:85(histogram_routine)
        7    0.016    0.002    0.016    0.002 {built-in method numpy.arange}
        2    0.012    0.006    0.012    0.006 {method 'close' of '_io.TextIOWrapper' objects}
        6    0.005    0.001    0.005    0.001 {method 'read' of '_io.BufferedReader' objects}
       30    0.005    0.000    0.021    0.001 _minpack_py.py:484(func_wrapped)
        1    0.005    0.005    0.007    0.007 _basic.py:888(inv)
        3    0.004    0.001    0.020    0.007 function_base.py:23(linspace)
        1    0.003    0.003    0.003    0.003 {method 'acquire' of '_multiprocessing.SemLock' objects}
       35    0.002    0.000    0.002    0.000 socket.py:545(send)
        1    0.002    0.002    0.002    0.002 lapack.py:968(_compute_lwork)
        6    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       55    0.002    0.000    0.002    0.000 {built-in method posix.stat}
        1    0.002    0.002    1.202    1.202 utils.py:17(coswindowback)
        8    0.001    0.000    0.576    0.072 popen_fork.py:62(_launch)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
       16    0.001    0.000    0.018    0.001 iostream.py:471(flush)
       19    0.001    0.000    0.001    0.000 {built-in method posix.pipe}
       41    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        8    0.001    0.000    0.001    0.000 process.py:80(__init__)
        8    0.001    0.000    0.599    0.075 process.py:110(start)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        8    0.001    0.000    0.001    0.000 __init__.py:228(_releaseLock)
        9    0.001    0.000    0.001    0.000 util.py:186(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
