         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100   10.489    0.105   10.507    0.105 lens.py:21(Psi_PM)
      100    7.035    0.070   31.910    0.319 potential.py:6(potential)
        1    4.162    4.162    6.298    6.298 utils.py:56(<listcomp>)
      100    3.958    0.040    3.971    0.040 lens.py:6(Psi_SIS)
     3179    3.418    0.001    3.861    0.001 ffi.py:149(__call__)
  1100028    2.152    0.000    2.152    0.000 utils.py:5(fitfuncF0)
      100    1.775    0.018    1.775    0.018 {built-in method fast_histogram._histogram_core._histogram1d}
      200    1.254    0.006    1.254    0.006 {method 'copy' of 'numpy.ndarray' objects}
        1    1.198    1.198    1.198    1.198 utils.py:24(<listcomp>)
        1    0.844    0.844    0.844    0.844 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
        1    0.725    0.725    0.890    0.890 npyio.py:1357(savetxt)
        1    0.623    0.623   36.196   36.196 histogram.py:10(histogram_routine)
   255438    0.309    0.000    0.386    0.000 {built-in method builtins.isinstance}
39627/6771    0.270    0.000    0.427    0.000 ir.py:313(_rec_list_vars)
       76    0.211    0.003    0.211    0.003 {method 'read' of '_io.BufferedReader' objects}
3547/2829    0.151    0.000    2.429    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      836    0.146    0.000    0.146    0.000 {method 'acquire' of '_thread.lock' objects}
   100000    0.146    0.000    0.146    0.000 {method 'write' of '_io.TextIOWrapper' objects}
29670/15167    0.138    0.000    0.408    0.000 pprint.py:550(_safe_repr)
       73    0.131    0.002    0.131    0.002 {built-in method marshal.loads}
    16571    0.112    0.000    0.152    0.000 targetconfig.py:111(getter)
       86    0.105    0.001    0.106    0.001 {method 'readlines' of '_io._IOBase' objects}
    47831    0.103    0.000    0.153    0.000 utils.py:330(<genexpr>)
22616/12029    0.102    0.000    0.456    0.000 {method 'format' of 'str' objects}
3831/3340    0.101    0.000    0.512    0.000 {built-in method builtins.sorted}
      410    0.090    0.000    0.090    0.000 {built-in method numpy.array}
      686    0.089    0.000    0.270    0.000 targetconfig.py:199(<dictcomp>)
45587/45518    0.080    0.000    0.225    0.000 {built-in method builtins.getattr}
     3383    0.073    0.000    0.381    0.000 values.py:544(_to_string)
