         1237826 function calls (1236910 primitive calls) in 26.368 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100   10.107    0.101   10.109    0.101 point_mass.py:21(function)
      100    3.537    0.035    3.537    0.035 sis.py:16(function)
      100    3.269    0.033   19.053    0.191 single_plane.py:26(fermat_potential)
        1    2.153    2.153    3.339    3.339 utils.py:56(<listcomp>)
  1100028    1.199    0.000    1.199    0.000 utils.py:5(fitfuncF0)
      100    1.084    0.011    1.084    0.011 {built-in method fast_histogram._histogram_core._histogram1d}
      100    1.002    0.010   15.784    0.158 single_plane.py:44(potential)
      603    0.883    0.001    0.883    0.001 {built-in method numpy.array}
        1    0.852    0.852    0.852    0.852 utils.py:24(<listcomp>)
      200    0.678    0.003    0.678    0.003 {method 'copy' of 'numpy.ndarray' objects}
 1437/521    0.405    0.000    1.163    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.372    0.372   21.555   21.555 histogram.py:6(histogram_routine)
        1    0.328    0.328    0.328    0.328 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
    53339    0.081    0.000    0.121    0.000 utils.py:330(<genexpr>)
      832    0.070    0.000    0.070    0.000 {method 'acquire' of '_thread.lock' objects}
    53033    0.040    0.000    0.040    0.000 {built-in method unicodedata.east_asian_width}
      306    0.039    0.000    0.160    0.001 {built-in method builtins.sum}
        1    0.038    0.038    0.038    0.038 utils.py:25(<listcomp>)
        1    0.027    0.027    0.042    0.042 {built-in method scipy.optimize._minpack._lmdif}
      203    0.024    0.000    0.060    0.000 function_base.py:23(linspace)
      207    0.018    0.000    0.018    0.000 {built-in method numpy.arange}
        1    0.015    0.015   26.368   26.368 amplification_factor.py:62(integrator)
        1    0.013    0.013    3.478    3.478 utils.py:28(F_tilde_extend)
      312    0.008    0.000    0.008    0.000 socket.py:545(send)
      102    0.007    0.000    0.112    0.001 std.py:355(format_meter)
        1    0.006    0.006    0.339    0.339 utils.py:62(iwFourier)
      200    0.005    0.000    0.008    0.000 stride_tricks.py:340(_broadcast_to)
      813    0.004    0.000    0.005    0.000 {method 'format' of 'str' objects}
       30    0.003    0.000    0.016    0.001 _minpack_py.py:484(func_wrapped)
      100    0.003    0.000    1.087    0.011 histogram.py:17(histogram1d)
      121    0.003    0.000    0.289    0.002 std.py:1212(update)
      312    0.003    0.000    0.014    0.000 iostream.py:202(schedule)
        1    0.003    0.003    0.004    0.004 helper.py:123(fftfreq)
      204    0.002    0.000    0.004    0.000 utils.py:222(_is_ascii)
        2    0.002    0.001    0.002    0.001 function_base.py:1799(trim_zeros)
      100    0.002    0.000    0.696    0.007 function_base.py:4846(meshgrid)
      104    0.002    0.000    0.086    0.001 iostream.py:471(flush)
      208    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.002    0.000    0.679    0.007 function_base.py:4990(<listcomp>)
